status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"matched","coway-cpi-7400n","코웨이","CPI-7400N","코웨이","CPI-7400N","정수기","https://www.rentalsegye.com/product.php?no=26139&cid=1377&gid=1424"
"matched","coway-cpi-7400n-2","코웨이","CPI-7400N","코웨이","CPI-7400N","정수기","https://www.rentalsegye.com/product.php?no=26139&cid=1377&gid=1424"
"matched","chungho-wi-36c90620n","청호나이스","WI-36C90620N","청호나이스","WI-36C90620N","정수기","https://www.rentalsegye.com/product.php?no=32208&cid=1377&gid=1424"
"matched","coway-chp-7212n","코웨이","CHP-7212N","코웨이","CHP-7212N","정수기","https://www.rentalsegye.com/product.php?no=41298&cid=1377&gid=1424"
"matched","coway-chp-7212n-2","코웨이","CHP-7212N","코웨이","CHP-7212N","정수기","https://www.rentalsegye.com/product.php?no=41298&cid=1377&gid=1424"
"matched","coway-chp-7220n","코웨이","CHP-7220N","코웨이","CHP-7220N","정수기","https://www.rentalsegye.com/product.php?no=47139&cid=1377&gid=1424"
"matched","coway-chp-7220n-2","코웨이","CHP-7220N","코웨이","CHP-7220N","정수기","https://www.rentalsegye.com/product.php?no=47139&cid=1377&gid=1424"
"matched","chungho-wi-37c90720n","청호나이스","WI-37C90720N","청호나이스","WI-37C90720N","정수기","https://www.rentalsegye.com/product.php?no=47810&cid=1377&gid=1424"
"matched","coway-chpi-7430n","코웨이","CHPI-7430N","코웨이","CHPI-7430N","정수기","https://www.rentalsegye.com/product.php?no=43137&cid=1377&gid=1424"
"matched","coway-chpi-7430n-2","코웨이","CHPI-7430N","코웨이","CHPI-7430N","정수기","https://www.rentalsegye.com/product.php?no=43137&cid=1377&gid=1424"
"matched","coway-chpi-7410n","코웨이","CHPI-7410N","코웨이","CHPI-7410N","정수기","https://www.rentalsegye.com/product.php?no=43140&cid=1377&gid=1424"
"matched","coway-chpi-7410n-2","코웨이","CHPI-7410N","코웨이","CHPI-7410N","정수기","https://www.rentalsegye.com/product.php?no=43140&cid=1377&gid=1424"
"matched","coway-chpi-7420n","코웨이","CHPI-7420N","코웨이","CHPI-7420N","정수기","https://www.rentalsegye.com/product.php?no=43527&cid=1377&gid=1424"
"matched","coway-chpi-7420n-2","코웨이","CHPI-7420N","코웨이","CHPI-7420N","정수기","https://www.rentalsegye.com/product.php?no=43527&cid=1377&gid=1424"
"unmatched_remote","","","","현대큐밍","HQPM11C","정수기","https://www.rentalsegye.com/product.php?no=32998&cid=1377&gid=1424"
"matched","cuckoo-cp-u011w-b","쿠쿠","CP-U011W/B","쿠쿠","CP-U011W/B","정수기","https://www.rentalsegye.com/product.php?no=19824&cid=1377&gid=1424"
"unmatched_remote","","","","쿠쿠","CP-ABS100GWH/GPK","정수기","https://www.rentalsegye.com/product.php?no=27966&cid=1377&gid=1424"
