status,local_id,local_brand,local_model,remote_brand,remote_model,category,detail_url
"matched","coway-chp-7220n","코웨이","CHP-7220N","코웨이","CHP-7220N","정수기","https://rentre.kr/product/1600006842/%EC%95%84%EC%9D%B4%EC%BD%983-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chp-7220n-2","코웨이","CHP-7220N","코웨이","CHP-7220N","정수기","https://rentre.kr/product/1600006842/%EC%95%84%EC%9D%B4%EC%BD%983-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chpi-7430n","코웨이","CHPI-7430N","코웨이","CHPI-7430N","정수기","https://rentre.kr/product/1600005413/%EC%95%84%EC%9D%B4%EC%BD%98-%EB%AF%B8%EB%8B%88-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chpi-7430n-2","코웨이","CHPI-7430N","코웨이","CHPI-7430N","정수기","https://rentre.kr/product/1600005413/%EC%95%84%EC%9D%B4%EC%BD%98-%EB%AF%B8%EB%8B%88-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","쿠쿠","CP-AMS100EBE(S)","정수기","https://rentre.kr/product/1600005382/%EC%9D%B8%EC%8A%A4%ED%93%A8%EC%96%B4-%EB%AF%B8%EB%8B%88100-%EC%B4%88%EC%86%8C%ED%98%95-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WD722RH","정수기","https://rentre.kr/product/1600006679/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0-(25%EB%85%84-12%EC%9B%94-%EC%B6%9C%EC%8B%9C)"
"unmatched_remote","","","","LG","WD724RH","정수기","https://rentre.kr/product/1600007733/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-AI-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chp-7212n","코웨이","CHP-7212N","코웨이","CHP-7212N","정수기","https://rentre.kr/product/1600004299/%EC%95%84%EC%9D%B4%EC%BD%98-%ED%94%84%EB%A1%9C-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chp-7212n-2","코웨이","CHP-7212N","코웨이","CHP-7212N","정수기","https://rentre.kr/product/1600004299/%EC%95%84%EC%9D%B4%EC%BD%98-%ED%94%84%EB%A1%9C-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","cuckoo-cp-aqs100ewh","쿠쿠","CP-AQS100EWH","쿠쿠","CP-AQS100EWH","정수기","https://rentre.kr/product/1600007035/%EC%A0%9C%EB%A1%9C-100-%EB%AF%B8%EB%8B%88-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","chungho-wi-37c90720n","청호나이스","WI-37C90720N","청호나이스","WI-37C90720N","정수기","https://rentre.kr/product/1600006937/The-M-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","SK매직","WPUJAC115DNW","정수기","https://rentre.kr/product/1600007502/%EC%B4%88%EC%86%8C%ED%98%95-%ED%94%8C%EB%9F%AC%EC%8A%A4-%EC%A7%81%EC%88%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0-(WIFI-%EB%AF%B8%EC%A7%80%EC%9B%90)"
"unmatched_remote","","","","SK매직","WPUIAC606SNW","정수기","https://rentre.kr/product/1600007448/MEGA-ICE-mini-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"unmatched_remote","","","","LG","WD523VHT","정수기","https://rentre.kr/product/1600004392/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0(%EB%A7%9E%EC%B6%A4%EC%B6%9C%EC%88%98%2C-%EC%B4%88%EA%B3%A0%EC%98%A8%EC%88%98)"
"unmatched_remote","","","","LG","WD523VCT","정수기","https://rentre.kr/product/1600007923/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EC%98%A4%EB%B8%8C%EC%A0%9C%EC%BB%AC%EB%A0%89%EC%85%98-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0-%EB%B2%A0%EC%9D%B4%EC%A7%80(%EB%A7%9E%EC%B6%A4%EC%B6%9C%EC%88%98%2C-%EC%B4%88%EA%B3%A0%EC%98%A8%EC%88%98)"
"unmatched_remote","","","","LG","WU923AS","정수기","https://rentre.kr/product/1522012109/%ED%93%A8%EB%A6%AC%EC%BC%80%EC%96%B4-%EB%93%80%EC%96%BC-%EB%83%89%EC%98%A8%EC%A0%95-%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chpi-7410n","코웨이","CHPI-7410N","코웨이","CHPI-7410N","정수기","https://rentre.kr/product/1600005358/%EC%95%84%EC%9D%B4%EC%BD%98-%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
"matched","coway-chpi-7410n-2","코웨이","CHPI-7410N","코웨이","CHPI-7410N","정수기","https://rentre.kr/product/1600005358/%EC%95%84%EC%9D%B4%EC%BD%98-%EC%8A%A4%ED%83%A0%EB%8B%A4%EB%93%9C-%EB%83%89%EC%98%A8%EC%A0%95-%EC%96%BC%EC%9D%8C%EC%A0%95%EC%88%98%EA%B8%B0"
